instant,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_hour,yr_hour,mnth_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_type
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2,0,5,0,3,1,3,0.4141666666666666,0.40465,0.7370833333333334,0.3289958333333333,255,2378,2633,Working Day
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,2,0,5,0,4,1,1,0.45916666666666667,0.4419166666666667,0.44416666666666665,0.29539166666666666,614,3819,4433,Working Day
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,2,0,5,0,5,1,1,0.4791666666666667,0.4741166666666667,0.59,0.22824583333333334,894,3714,4608,Working Day
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,2,0,5,0,6,0,1,0.52,0.5126208333333333,0.54125,0.16045,1612,3102,4714,Weekend
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,2,0,5,0,0,0,2,0.5283333333333333,0.5189333333333334,0.6316666666666667,0.0746375,1401,2932,4333,Weekend
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,2,0,5,0,1,1,1,0.5325,0.5252458333333333,0.58875,0.17600000000000002,664,3698,4362,Working Day
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,2,0,5,0,2,1,1,0.5325000000000001,0.5227208333333333,0.4891666666666667,0.11567083333333333,694,4109,4803,Working Day
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,2,0,5,0,3,1,2,0.5425,0.5284,0.6329166666666667,0.12064166666666666,550,3632,4182,Working Day
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,2,0,5,0,4,1,2,0.535,0.5233625000000001,0.7475,0.18966666666666665,695,4169,4864,Working Day
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,2,0,5,0,5,1,2,0.5125000000000001,0.4943,0.8633333333333333,0.17972500000000002,692,3413,4105,Working Day
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,2,0,5,0,6,0,2,0.5208333333333334,0.5006291666666667,0.9225,0.13495,902,2507,3409,Weekend
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,2,0,5,0,0,0,2,0.5625,0.5359999999999999,0.8670833333333333,0.15297916666666667,1582,2971,4553,Weekend
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,2,0,5,0,1,1,1,0.5775,0.5505125,0.7879166666666667,0.12687083333333335,773,3185,3958,Working Day
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,2,0,5,0,2,1,2,0.5616666666666666,0.5385291666666666,0.8379166666666666,0.2773541666666666,678,3445,4123,Working Day
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,2,0,5,0,3,1,2,0.55,0.5271583333333333,0.87,0.20149166666666665,536,3319,3855,Working Day
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,2,0,5,0,4,1,1,0.5308333333333334,0.5107416666666666,0.8295833333333333,0.1082125,735,3840,4575,Working Day
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,2,0,5,0,5,1,1,0.5366666666666667,0.5290416666666666,0.7195833333333334,0.1250125,909,4008,4917,Working Day
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,2,0,5,0,6,0,1,0.6025,0.571975,0.6266666666666666,0.12065,2258,3547,5805,Weekend
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,2,0,5,0,0,0,1,0.6041666666666666,0.5745,0.7495833333333333,0.14800833333333333,1576,3084,4660,Weekend
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,2,0,5,0,1,1,2,0.6316666666666667,0.5902958333333334,0.8099999999999999,0.23384166666666664,836,3438,4274,Working Day
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,2,0,5,0,2,1,2,0.66,0.6048125,0.7408333333333333,0.20709166666666667,659,3833,4492,Working Day
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,2,0,5,0,3,1,3,0.6608333333333333,0.6155416666666667,0.69625,0.15423333333333333,740,4238,4978,Working Day
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,2,0,5,0,4,1,1,0.7083333333333334,0.6546875,0.6775000000000001,0.1996416666666667,758,3919,4677,Working Day
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,2,0,5,0,5,1,1,0.6816666666666666,0.6370083333333333,0.6537499999999999,0.24067916666666667,871,3808,4679,Working Day
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,2,0,5,0,6,0,1,0.6558333333333334,0.6123791666666666,0.7295833333333334,0.23009166666666667,2001,2757,4758,Weekend
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,2,0,5,0,0,0,1,0.6675,0.6155499999999999,0.81875,0.2139375,2355,2433,4788,Weekend
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,2,0,5,1,1,0,1,0.7333333333333334,0.6710916666666668,0.6849999999999999,0.131225,1549,2549,4098,Holiday
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,2,0,5,0,2,1,1,0.775,0.7253833333333333,0.6366666666666666,0.11132916666666666,673,3309,3982,Working Day
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,2,0,6,0,3,1,1,0.7641666666666667,0.7209666666666666,0.6770833333333334,0.20709166666666667,513,3461,3974,Working Day
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,2,0,6,0,4,1,1,0.715,0.6439416666666666,0.305,0.2922875,736,4232,4968,Working Day
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,2,0,6,0,5,1,1,0.62,0.5871333333333333,0.3541666666666667,0.25312083333333335,898,4414,5312,Working Day
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,2,0,6,0,6,0,1,0.635,0.5946958333333333,0.45625,0.12314166666666666,1869,3473,5342,Weekend
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,2,0,6,0,0,0,1,0.6483333333333333,0.6168041666666667,0.6525,0.13869166666666669,1685,3221,4906,Weekend
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,2,0,6,0,1,1,1,0.6783333333333333,0.6218583333333333,0.6,0.12189583333333333,673,3875,4548,Working Day
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,2,0,6,0,2,1,1,0.7075,0.6559499999999999,0.5979166666666667,0.18780833333333333,763,4070,4833,Working Day
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,2,0,6,0,3,1,1,0.7758333333333334,0.7272791666666666,0.6220833333333333,0.13681666666666667,676,3725,4401,Working Day
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,2,0,6,0,4,1,2,0.8083333333333332,0.7575791666666666,0.5683333333333334,0.14988333333333334,563,3352,3915,Working Day
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,2,0,6,0,5,1,3,0.755,0.7032916666666668,0.605,0.14055416666666667,815,3771,4586,Working Day
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,2,0,6,0,6,0,1,0.725,0.6780375,0.6545833333333334,0.15485000000000002,1729,3237,4966,Weekend
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,2,0,6,0,0,0,1,0.6925,0.643325,0.7479166666666667,0.16356666666666667,1467,2993,4460,Weekend
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,2,0,6,0,1,1,1,0.635,0.6016541666666667,0.4945833333333333,0.30535,863,4157,5020,Working Day
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,2,0,6,0,2,1,1,0.6041666666666666,0.5915458333333333,0.5070833333333333,0.2692833333333333,727,4164,4891,Working Day
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,2,0,6,0,3,1,1,0.6266666666666666,0.5877541666666667,0.4716666666666667,0.16791250000000002,769,4411,5180,Working Day
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,2,0,6,0,4,1,1,0.6283333333333333,0.5953458333333334,0.6883333333333334,0.20647083333333335,545,3222,3767,Working Day
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,2,0,6,0,5,1,1,0.6491666666666667,0.6003833333333334,0.7358333333333333,0.14302916666666668,863,3981,4844,Working Day
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,2,0,6,0,6,0,1,0.6966666666666667,0.6439541666666666,0.6704166666666667,0.11940833333333334,1807,3312,5119,Weekend
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,2,0,6,0,0,0,1,0.6991666666666667,0.6458458333333333,0.6666666666666666,0.102,1639,3105,4744,Weekend
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,2,0,6,0,1,1,1,0.635,0.5953458333333334,0.74625,0.155475,699,3311,4010,Working Day
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,3,0,6,0,2,1,1,0.6808333333333333,0.6376458333333334,0.7704166666666666,0.17102499999999998,774,4061,4835,Working Day
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,3,0,6,0,3,1,1,0.7333333333333334,0.6938291666666667,0.7075,0.17226249999999999,661,3846,4507,Working Day
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,3,0,6,0,4,1,1,0.7283333333333334,0.6938333333333332,0.7033333333333333,0.23880416666666668,746,4044,4790,Working Day
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,3,0,6,0,5,1,1,0.7241666666666666,0.6565833333333333,0.5733333333333334,0.222025,969,4022,4991,Working Day
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,3,0,6,0,6,0,1,0.695,0.6433125,0.48333333333333334,0.20957083333333335,1782,3420,5202,Weekend
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,3,0,6,0,0,0,1,0.68,0.6376291666666666,0.5133333333333333,0.09453333333333334,1920,3385,5305,Weekend
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,3,0,6,0,1,1,3,0.6825,0.6370041666666667,0.6583333333333333,0.1075875,854,3854,4708,Working Day
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,3,0,6,0,2,1,2,0.7441666666666666,0.6925583333333334,0.6341666666666667,0.14428333333333335,732,3916,4648,Working Day
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,3,0,6,0,3,1,2,0.7283333333333334,0.6546875,0.4979166666666666,0.26182083333333334,848,4377,5225,Working Day
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,3,0,6,0,4,1,1,0.6966666666666667,0.6370083333333333,0.43416666666666665,0.1853125,1027,4488,5515,Working Day
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,3,0,7,0,5,1,1,0.7225,0.6521625,0.39625,0.10260833333333334,1246,4116,5362,Working Day
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,3,0,7,0,6,0,1,0.7383333333333333,0.6673083333333333,0.44458333333333333,0.1150625,2204,2915,5119,Weekend
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,3,0,7,0,0,0,1,0.7166666666666667,0.668575,0.6825,0.2288583333333333,2282,2367,4649,Weekend
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,3,0,7,1,1,0,1,0.7266666666666667,0.6654166666666667,0.6379166666666667,0.08147916666666667,3065,2978,6043,Holiday
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,3,0,7,0,2,1,2,0.7466666666666667,0.6963374999999999,0.5904166666666667,0.12625833333333333,1031,3634,4665,Working Day
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,3,0,7,0,3,1,1,0.7200000000000001,0.6856333333333332,0.7433333333333333,0.14988333333333334,784,3845,4629,Working Day
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,3,0,7,0,4,1,1,0.75,0.6868708333333333,0.65125,0.1592,754,3838,4592,Working Day
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,3,0,7,0,5,1,1,0.7091666666666666,0.6704833333333333,0.7579166666666667,0.22512916666666669,692,3348,4040,Working Day
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,3,0,7,0,6,0,2,0.7333333333333334,0.6641583333333333,0.6091666666666666,0.16791250000000002,1988,3348,5336,Weekend
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,3,0,7,0,0,0,1,0.7475,0.690025,0.5783333333333334,0.18347083333333333,1743,3138,4881,Weekend
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,3,0,7,0,1,1,1,0.7625000000000001,0.7298041666666667,0.6358333333333334,0.28233749999999996,723,3363,4086,Working Day
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,3,0,7,0,2,1,1,0.7941666666666666,0.739275,0.5591666666666667,0.20025416666666665,662,3596,4258,Working Day
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,3,0,7,0,3,1,1,0.7466666666666666,0.6894041666666667,0.6316666666666667,0.14613333333333334,748,3594,4342,Working Day
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,3,0,7,0,4,1,1,0.6808333333333333,0.6351041666666667,0.47625,0.24066666666666667,888,4196,5084,Working Day
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,3,0,7,0,5,1,1,0.6633333333333333,0.6243708333333333,0.5912499999999999,0.18283333333333332,1318,4220,5538,Working Day
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923,3,0,7,0,6,0,1,0.6866666666666666,0.6382625,0.5850000000000001,0.20834166666666668,2418,3505,5923,Weekend
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,3,0,7,0,0,0,1,0.7191666666666667,0.6698333333333334,0.6041666666666666,0.24503333333333333,2006,3296,5302,Weekend
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,3,0,7,0,1,1,1,0.7466666666666667,0.703925,0.65125,0.21580416666666669,841,3617,4458,Working Day
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,3,0,7,0,2,1,1,0.7766666666666667,0.7474791666666666,0.6504166666666666,0.13060000000000002,752,3789,4541,Working Day
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,3,0,7,0,3,1,1,0.7683333333333334,0.7468499999999999,0.7070833333333333,0.11381666666666666,644,3688,4332,Working Day
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,3,0,7,0,4,1,2,0.815,0.8263708333333333,0.69125,0.22202083333333333,632,3152,3784,Working Day
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,3,0,7,0,5,1,1,0.8483333333333333,0.8408958333333333,0.5804166666666667,0.1331,562,2825,3387,Working Day
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,3,0,7,0,6,0,1,0.8491666666666666,0.8042875,0.5,0.13122083333333331,987,2298,3285,Weekend
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,3,0,7,0,0,0,1,0.8300000000000001,0.7948291666666667,0.5508333333333334,0.16917083333333335,1050,2556,3606,Weekend
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,3,0,7,0,1,1,2,0.7433333333333333,0.7209583333333334,0.7570833333333332,0.09080833333333332,568,3272,3840,Working Day
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,3,0,7,0,2,1,1,0.7716666666666666,0.6969791666666666,0.5408333333333334,0.20025833333333332,750,3840,4590,Working Day
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,3,0,7,0,3,1,2,0.775,0.6906666666666667,0.40291666666666665,0.1834625,755,3901,4656,Working Day
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,3,0,7,0,4,1,1,0.7791666666666667,0.7399,0.5833333333333334,0.17847916666666666,606,3784,4390,Working Day
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,3,0,7,0,5,1,1,0.8383333333333334,0.7859666666666666,0.5425,0.17413750000000003,670,3176,3846,Working Day
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,3,0,7,0,6,0,1,0.8041666666666667,0.7285375,0.4658333333333333,0.1685375,1559,2916,4475,Weekend
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,3,0,7,0,0,0,1,0.8058333333333333,0.7297958333333333,0.4808333333333333,0.1648125,1524,2778,4302,Weekend
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,3,0,8,0,1,1,1,0.7716666666666666,0.7032916666666668,0.5508333333333333,0.15671666666666667,729,3537,4266,Working Day
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,3,0,8,0,2,1,1,0.7833333333333333,0.7070708333333333,0.49124999999999996,0.20585,801,4044,4845,Working Day
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,3,0,8,0,3,1,2,0.7316666666666666,0.6799375,0.6575,0.13558333333333333,467,3107,3574,Working Day
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,3,0,8,0,4,1,2,0.71,0.6647875,0.7575,0.19715000000000002,799,3777,4576,Working Day
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,3,0,8,0,5,1,1,0.7108333333333333,0.6565666666666666,0.6308333333333334,0.1846958333333333,1023,3843,4866,Working Day
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,3,0,8,0,6,0,1,0.7166666666666667,0.6761541666666666,0.755,0.22824999999999998,1521,2773,4294,Weekend
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,3,0,8,0,0,0,2,0.7425,0.7152916666666665,0.7529166666666667,0.2014875,1298,2487,3785,Weekend
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,3,0,8,0,1,1,1,0.765,0.7032833333333333,0.5920833333333334,0.19217499999999998,846,3480,4326,Working Day
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,3,0,8,0,2,1,1,0.775,0.7241208333333334,0.5704166666666667,0.15112083333333334,907,3695,4602,Working Day
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,3,0,8,0,3,1,1,0.7666666666666666,0.6849833333333333,0.42416666666666664,0.20025833333333332,884,3896,4780,Working Day
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,3,0,8,0,4,1,1,0.7174999999999999,0.6515208333333333,0.42375,0.16479583333333334,812,3980,4792,Working Day
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,3,0,8,0,5,1,1,0.7083333333333334,0.6540416666666666,0.41500000000000004,0.12562083333333332,1051,3854,4905,Working Day
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,3,0,8,0,6,0,1,0.6858333333333334,0.6458583333333333,0.7295833333333333,0.2114541666666667,1504,2646,4150,Weekend
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,3,0,8,0,0,0,3,0.6766666666666666,0.6243875,0.8175,0.22263333333333335,1338,2482,3820,Weekend
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,3,0,8,0,1,1,3,0.6658333333333334,0.6161666666666666,0.7120833333333333,0.20895416666666666,775,3563,4338,Working Day
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,3,0,8,0,2,1,1,0.7008333333333333,0.6458375,0.5783333333333333,0.23632916666666667,721,4004,4725,Working Day
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,3,0,8,0,3,1,1,0.7233333333333333,0.6666708333333333,0.5754166666666667,0.14366666666666666,668,4026,4694,Working Day
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,3,0,8,0,4,1,1,0.7116666666666668,0.6622583333333333,0.6545833333333334,0.23320833333333335,639,3166,3805,Working Day
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,3,0,8,0,5,1,3,0.685,0.6332208333333332,0.7229166666666668,0.13930833333333334,797,3356,4153,Working Day
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,3,0,8,0,6,0,1,0.6974999999999999,0.6489958333333333,0.6741666666666667,0.10446666666666667,1914,3277,5191,Weekend
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,3,0,8,0,0,0,1,0.7108333333333333,0.6755249999999999,0.77,0.2487541666666667,1249,2624,3873,Weekend
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,3,0,8,0,1,1,1,0.6916666666666668,0.6382541666666667,0.47,0.27675,833,3925,4758,Working Day
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,3,0,8,0,2,1,1,0.6408333333333333,0.6060666666666666,0.45541666666666664,0.1467625,1281,4614,5895,Working Day
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130,3,0,8,0,3,1,1,0.6733333333333333,0.6306916666666667,0.605,0.2531083333333333,949,4181,5130,Working Day
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542,3,0,8,0,4,1,1,0.6841666666666667,0.6458541666666666,0.7716666666666666,0.21083333333333334,435,3107,3542,Working Day
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661,3,0,8,0,5,1,1,0.7000000000000001,0.6597333333333333,0.76125,0.0839625,768,3893,4661,Working Day
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,226,889,1115,3,0,8,0,6,0,1,0.68,0.6355555555555555,0.85,0.37561666666666665,226,889,1115,Weekend
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,3,0,8,0,0,0,3,0.7070588235294117,0.6479588235294118,0.5617647058823529,0.30465882352941176,1415,2919,4334,Weekend
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634,3,0,8,0,1,1,1,0.6366666666666666,0.6079583333333333,0.5545833333333333,0.159825,729,3905,4634,Working Day
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429,5204,3,0,8,0,2,1,1,0.6391666666666667,0.5947041666666667,0.5483333333333333,0.12500833333333333,775,4429,5204,Working Day
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,3,0,8,0,3,1,1,0.6566666666666666,0.6111208333333333,0.5979166666666667,0.08333333333333333,688,4370,5058,Working Day
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115,3,0,9,0,4,1,1,0.655,0.6149208333333332,0.6391666666666667,0.14179583333333332,783,4332,5115,Working Day
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727,3,0,9,0,5,1,1,0.6433333333333333,0.6048083333333333,0.7270833333333333,0.13992916666666666,875,3852,4727,Working Day
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,3,0,9,0,6,0,2,0.6691666666666666,0.6332125,0.7166666666666667,0.185325,1935,2549,4484,Weekend
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,3,0,9,0,0,0,1,0.7091666666666666,0.6654291666666666,0.7420833333333333,0.2064666666666667,2521,2419,4940,Weekend
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,3,0,9,1,1,0,2,0.6733333333333333,0.6256458333333333,0.7904166666666667,0.21269583333333333,1236,2115,3351,Holiday
